,averagerating,numvotes,title,genres,Sport,Fantasy,Mystery,War,Biography,Drama,Comedy,History,Crime,Horror,Family,Adventure,Romance,Documentary,Sci-Fi,Action,Thriller,Music,Animation,year,dom_gross,for_gross,world_gross
624,8.1,393437,Rush,"Action,Biography,Drama",False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,2013,26947624.0,71283215.0,98230839.0
625,5.6,69968,Machete Kills,"Action,Crime,Sci-Fi",False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,2013,8000000.0,7000000.0,15000000.0
626,7.6,4824,A Simple Life,Drama,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2012,192000.0,2600000.0,2792000.0
627,7.8,60943,The Wind Rises,"Animation,Biography,Drama",False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,2014,5200000.0,112700000.0,117900000.0
628,6.8,55981,The Finest Hours,"Action,Drama,History",False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,2016,27600000.0,24500000.0,52100000.0
629,7.2,74,The New World,Documentary,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2005,12712093.0,13472307.0,26184400.0
630,5.6,118646,Dumb and Dumber To,"Adventure,Comedy",False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,2014,86200000.0,83600000.0,169800000.0
631,5.8,3780,Tere Naal Love Ho Gaya,"Comedy,Drama,Romance",False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,2012,178000.0,,
632,7.0,8513,Drug War,"Action,Crime,Drama",False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,2013,128000.0,,
633,7.3,89372,St. Vincent,"Comedy,Drama",False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,2014,44100000.0,10700000.0,54800000.0
634,5.0,416,Gamer,Drama,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2009,20534907.0,21467122.0,42002029.0
635,6.2,20442,Closed Circuit,"Crime,Drama,Mystery",False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,2013,5800000.0,,
636,7.3,13416,Lootera,"Drama,Romance",False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,2013,582000.0,,
637,5.7,11848,The Love Punch,Comedy,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2014,267000.0,4500000.0,4767000.0
638,6.4,29018,Muppets Most Wanted,"Adventure,Comedy,Crime",False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,2014,51200000.0,29200000.0,80400000.0
639,7.1,110138,Wild,"Adventure,Biography,Drama",False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,2014,37880356.0,14580187.0,52460543.0
640,3.6,201,Double Trouble,"Action,Comedy",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,2012,44800.0,,
641,6.3,37869,Endless Love,"Drama,Romance",False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,2014,23438250.0,11279923.0,34718173.0
642,6.8,171411,The Babadook,"Drama,Horror",False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,2014,964000.0,9300000.0,10264000.0
643,5.9,16,Frequency,"Sci-Fi,Thriller",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,2000,44983704.0,23095967.0,68079671.0
644,8.2,54802,Bhaag Milkha Bhaag,"Biography,Drama,Sport",True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2013,1600000.0,,
645,5.8,15667,Lost River,"Drama,Fantasy,Mystery",False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2015,45431.0,1964213.0,2009644.0
646,8.0,73063,Short Term 12,Drama,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2013,1000000.0,,
647,7.2,100680,Carol,"Drama,Romance",False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,2015,12700000.0,27600000.0,40300000.0
648,5.4,95111,Gods of Egypt,"Action,Adventure,Fantasy",False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,2016,31200000.0,119500000.0,150700000.0
649,8.0,29108,The Tale of The Princess Kaguya,"Adventure,Animation,Drama",False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,2014,703000.0,23500000.0,24203000.0
650,7.1,836,City of Gold,"Biography,Documentary",False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2016,641000.0,,
651,7.0,101,Bambi,"Biography,Documentary",False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1942,102797000.0,165203000.0,268000000.0
652,6.1,415,Colette,"Biography,Drama,History",False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,2018,5100000.0,,
653,7.2,335074,Furious 7,"Action,Crime,Thriller",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,2015,353000000.0,,
654,4.8,997,Extraction,Action,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2015,16800.0,,
655,7.5,12072,Omar,"Crime,Drama,Romance",False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,2014,356000.0,,
656,6.6,10659,Black or White,Drama,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2015,21600000.0,,
657,7.0,47632,Everybody Wants Some!!,Comedy,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2016,3400000.0,,
658,7.4,8,The Glass House,"Drama,Thriller",False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,2001,17951431.0,4910354.0,22861785.0
659,7.1,29,Equals,Drama,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2016,33300.0,2100000.0,2133300.0
660,5.3,7284,Heropanti,"Action,Romance",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,2014,63600.0,,
661,6.8,2499,Commitment,"Action,Drama",False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,2013,76500.0,4500000.0,4576500.0
662,6.3,1301,1001 Grams,Drama,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2015,11000.0,,
663,6.7,40229,Ferdinand,"Adventure,Animation,Comedy",False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,2017,84400000.0,211700000.0,296100000.0
664,6.8,642,Songs My Brothers Taught Me,Drama,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2016,34800.0,,
